issue,number,state,link
Filter out legacy checks in xtensa xa_nnlib,47950,closed,https://github.com/tensorflow/tensorflow/issues/47950
[TF2.3.0] Failed to Build libtensorflow_cc.so for C++ APIs with conda environment ,47949,closed,https://github.com/tensorflow/tensorflow/issues/47949
Use Recording memory APIs in the benchmark.,47948,open,https://github.com/tensorflow/tensorflow/issues/47948
Optimize unique_op by repetition rate,47947,open,https://github.com/tensorflow/tensorflow/issues/47947
pip and conda install tensorflow problems in anaconda environment,47946,open,https://github.com/tensorflow/tensorflow/issues/47946
TensorFlow-Keras Code Example ,47945,open,https://github.com/tensorflow/tensorflow/issues/47945
"Some of the operators in the model are not supported by the standard TensorFlow Lite runtime. If those are native TensorFlow operators, you might be able to use the extended runtime by passing --enable_select_tf_ops, or by setting target_ops=TFLITE_BUILTINS,SELECT_TF_OPS when calling tf.lite.TFLiteConverter(). Otherwise, if you have a custom implementation for them you can disable this error with --allow_custom_ops, or by setting allow_custom_ops=True when calling tf.lite.TFLiteConverter(). Here is a list of builtin operators you are using: CONCATENATION, CONV_2D, MAXIMUM, MAX_POOL_2D, MUL, PAD. Here is a list of operators for which you will need custom implementations: ExtractImagePatches.",47944,open,https://github.com/tensorflow/tensorflow/issues/47944
"When in ""webgl"" backend and image width is odd, the second run of tf.conv2d() may be wrong.",47943,closed,https://github.com/tensorflow/tensorflow/issues/47943
Bug Issues Testing,47942,closed,https://github.com/tensorflow/tensorflow/issues/47942
Add additive/multiplicative angluar margin loss,47941,open,https://github.com/tensorflow/tensorflow/issues/47941
Make horizontal input fusion and LLVM IR emitter deterministic,47940,open,https://github.com/tensorflow/tensorflow/issues/47940
Feature request: #47493,47939,open,https://github.com/tensorflow/tensorflow/issues/47939
`model.fit()` ends before all epochs are ran,47938,closed,https://github.com/tensorflow/tensorflow/issues/47938
[ROCm] Enabling unit test fft_ops_test.py on ROCm,47937,open,https://github.com/tensorflow/tensorflow/issues/47937
Add GPU support of AsString + StringToHashBucket,47936,open,https://github.com/tensorflow/tensorflow/issues/47936
Stubbed out memory allocation calls in audio library,47935,open,https://github.com/tensorflow/tensorflow/issues/47935
Process finished with exit code -1073740791 (0xC0000409) when training on GPU,47934,open,https://github.com/tensorflow/tensorflow/issues/47934
model.save() outputs unexpected files in SavedModel directory,47933,open,https://github.com/tensorflow/tensorflow/issues/47933
TensorflowLiteObj duplicate symbol,47932,open,https://github.com/tensorflow/tensorflow/issues/47932
Failed to convert SparseTensor to Tensor,47931,open,https://github.com/tensorflow/tensorflow/issues/47931
Share variable across devices in Tensorflow 2 cluster,47930,open,https://github.com/tensorflow/tensorflow/issues/47930
tfcompile for arm,47929,open,https://github.com/tensorflow/tensorflow/issues/47929
Failing saved model multi output model unittest,47928,closed,https://github.com/tensorflow/tensorflow/issues/47928
TFLiteSavedModelConverterV2 breaks ordering of multi output models,47927,open,https://github.com/tensorflow/tensorflow/issues/47927
Remove uint8 support from Fully Connected,47926,open,https://github.com/tensorflow/tensorflow/issues/47926
[determinism] Add softmax/cross-entropy op exceptions for GPU determinism,47925,open,https://github.com/tensorflow/tensorflow/issues/47925
Gpu memory issue,47924,open,https://github.com/tensorflow/tensorflow/issues/47924
Shared svdf OpData should be renamed to OpDataSvdf,47923,open,https://github.com/tensorflow/tensorflow/issues/47923
Fix Keras Callbacks logs / numpy_logs sync,47922,open,https://github.com/tensorflow/tensorflow/issues/47922
[Pluggable Device] Add custom device mem allocator for Pluggable device.,47921,open,https://github.com/tensorflow/tensorflow/issues/47921
Replacing cuda_py_tests with cuda_py_test where applicable,47920,open,https://github.com/tensorflow/tensorflow/issues/47920
[ROCm] Fix for ROCm CSB breakages - 210319,47919,open,https://github.com/tensorflow/tensorflow/issues/47919
Installation error: Tensorflow having some conflict with rocm-3.9.1,47918,closed,https://github.com/tensorflow/tensorflow/issues/47918
Tensorflow ROCM getting wrong version,47917,closed,https://github.com/tensorflow/tensorflow/issues/47917
Tensorflow Training crashes when using tf dataset on large amount of data,47916,open,https://github.com/tensorflow/tensorflow/issues/47916
Build fails on Arch Linux,47915,open,https://github.com/tensorflow/tensorflow/issues/47915
[TFLM] Add support for optimized SVDF kernel for CEVA-DSP BX1 & SP500,47914,open,https://github.com/tensorflow/tensorflow/issues/47914
Tenorflow Traceback Errors ,47913,open,https://github.com/tensorflow/tensorflow/issues/47913
Weights in tf.estimator.BoostedTreesClassifier(),47912,open,https://github.com/tensorflow/tensorflow/issues/47912
[TFLM] SVDF kernel refactoring,47911,open,https://github.com/tensorflow/tensorflow/issues/47911
Tracking python lists (or ListWrapper) in keras custom preprocessing layers,47910,open,https://github.com/tensorflow/tensorflow/issues/47910
TF.keras in TF2.4,47909,closed,https://github.com/tensorflow/tensorflow/issues/47909
TF2 + GH,47908,open,https://github.com/tensorflow/tensorflow/issues/47908
"[TFLM] For CEVA-DSP Makefiles: Added ceva_dsp_lib to linker, added ceva_common.h to headers list",47907,open,https://github.com/tensorflow/tensorflow/issues/47907
Using custom callback to set trainable=true doesn't work when use model.fit(),47906,open,https://github.com/tensorflow/tensorflow/issues/47906
"tflite runtime API + NNAPI delegate refusing layers from a MobileNetV2SSD trained with Object Detection API, with high inference time",47905,open,https://github.com/tensorflow/tensorflow/issues/47905
ASL Gesture Recognition SSD Model not showing labels upon running,47904,open,https://github.com/tensorflow/tensorflow/issues/47904
Train.py error Blas GEMM launch failed,47903,open,https://github.com/tensorflow/tensorflow/issues/47903
Unable to link c++ project due to missing header files,47902,open,https://github.com/tensorflow/tensorflow/issues/47902
Feature Request for N-Dimensional Operations,47901,open,https://github.com/tensorflow/tensorflow/issues/47901
[PluggableDevice] New device type support in python front-end,47900,open,https://github.com/tensorflow/tensorflow/issues/47900
Add documentation for numeric_column api.,47899,open,https://github.com/tensorflow/tensorflow/issues/47899
WARNING:tensorflow:AutoGraph could not transform <bound method Socket.send of <zmq.sugar.socket.Socket object at 0x7f817468a4c0>> and will run it as-is,47898,open,https://github.com/tensorflow/tensorflow/issues/47898
Cleanup expired forward compatibility horizons,47897,open,https://github.com/tensorflow/tensorflow/issues/47897
Cleanup forward compatibility of random ops,47896,open,https://github.com/tensorflow/tensorflow/issues/47896
using ragged tensors with custom loss and metric ,47895,open,https://github.com/tensorflow/tensorflow/issues/47895
"Last batch always pad up to the batch size and cause error ""logits and labels must be broadcastable""",47894,closed,https://github.com/tensorflow/tensorflow/issues/47894
TFLite Documentation Request: How do per-axis quantizations work with subsequent layers?,47893,open,https://github.com/tensorflow/tensorflow/issues/47893
Nit: Fix listing formats for inline docs.,47892,open,https://github.com/tensorflow/tensorflow/issues/47892
OSError: Cannot understand given URI: <tf.Tensor 'filepath:0' shape=() dtype=string>.,47891,open,https://github.com/tensorflow/tensorflow/issues/47891
Latest Windows 10 update - Import tensorflow - Kernel dies,47890,open,https://github.com/tensorflow/tensorflow/issues/47890
Rename tf.keras.optimizers to tf.keras.optims for more aesthetic import statements,47889,open,https://github.com/tensorflow/tensorflow/issues/47889
Tensorflow lite micro 2.4 Alpha version missing tflite::ops::micro::Register_FULLY_CONNECTED(),47888,open,https://github.com/tensorflow/tensorflow/issues/47888
Change head command to use -n instead of --lines,47887,closed,https://github.com/tensorflow/tensorflow/issues/47887
Segmentation Fault when Benchmarking TFLite EfficientNetB0 ,47886,open,https://github.com/tensorflow/tensorflow/issues/47886
I hope that the tfjs-models project will increase the configuration resource link method,47885,closed,https://github.com/tensorflow/tensorflow/issues/47885
