,0,1,2,label
0,JavaScript: support setLogLevel() / getLogLevel() calls,"[Label(name=""category: javascript (js)""), Label(name=""feature"")]",https://api.github.com/repos/opencv/opencv/issues/19757,feature
1,Linking with Prebuilt opencv_world gives errors,"[Label(name=""question (invalid tracker)"")]",https://api.github.com/repos/opencv/opencv/issues/19756,NO
2,cv::UMat output/input in VideoCapture/VideoWriter (data stays in GPU memory),"[Label(name=""category: videoio""), Label(name=""feature"")]",https://api.github.com/repos/opencv/opencv/issues/19755,feature
3,Wasm perf tests RuntimeError: abort(TypeError: cv.Size is not a constructor).,"[Label(name=""category: build/install""), Label(name=""category: javascript (js)"")]",https://api.github.com/repos/opencv/opencv/issues/19754,build
4,Error Message for SURF if not implemented,[],https://api.github.com/repos/opencv/opencv/issues/19753,NO
5, G-API: ONNX. Adding INT64-32 conversion for output.,"[Label(name=""category: g-api / gapi""), Label(name=""test"")]",https://api.github.com/repos/opencv/opencv/issues/19752,NO
6,"[Feature Request] Extend transpose operator for MatND, Mat with channels and extend API","[Label(name=""category: core""), Label(name=""feature"")]",https://api.github.com/repos/opencv/opencv/issues/19751,feature
7,about blobFromImages,"[Label(name=""question (invalid tracker)"")]",https://api.github.com/repos/opencv/opencv/issues/19750,NO
8,opencv 4.5.1 minAreaRect,"[Label(name=""question (invalid tracker)"")]",https://api.github.com/repos/opencv/opencv/issues/19749,NO
9,Implement Soft NMS,[],https://api.github.com/repos/opencv/opencv/issues/19748,NO
10,core(parallel): fix plugins handling if no filesystem available,"[Label(name=""bug""), Label(name=""category: core"")]",https://api.github.com/repos/opencv/opencv/issues/19747,bug
11,DirectShow: VideoCapture returns blank frames for OBS Virtual Camera on Windows,"[Label(name=""category: videoio(camera)""), Label(name=""platform: win32""), Label(name=""priority: low"")]",https://api.github.com/repos/opencv/opencv/issues/19746,NO
12,features2d(MSER): chi_table.h notes,"[Label(name=""category: features2d"")]",https://api.github.com/repos/opencv/opencv/issues/19745,NO
13,Compiling to WebAssembly doesn't build libopencv_videoio.a,"[Label(name=""category: javascript (js)""), Label(name=""category: video""), Label(name=""feature"")]",https://api.github.com/repos/opencv/opencv/issues/19744,feature
14,Is there any way to change the codec in cv2.imencode?,"[Label(name=""question (invalid tracker)"")]",https://api.github.com/repos/opencv/opencv/issues/19743,NO
15,Mismatch in results of pyrUp/Down between cv::Mat and cv::UMat inputs,"[Label(name=""category: ocl""), Label(name=""question (invalid tracker)"")]",https://api.github.com/repos/opencv/opencv/issues/19742,NO
16,ml: use OpenCV license header for logistic regression,"[Label(name=""category: ml"")]",https://api.github.com/repos/opencv/opencv/issues/19741,NO
17,VideoCapture faster than imread when reading image files,[],https://api.github.com/repos/opencv/opencv/issues/19740,NO
18,valgrind: filter out hardware-accelerated videoio tests,"[Label(name=""category: infrastructure""), Label(name=""category: videoio""), Label(name=""test"")]",https://api.github.com/repos/opencv/opencv/issues/19739,NO
19,[G-API] Fix blocking desc usage,"[Label(name=""bug""), Label(name=""category: g-api / gapi"")]",https://api.github.com/repos/opencv/opencv/issues/19738,bug
