,0,1,2,label
0,BUG: Pandas 1.2 the clip method does not support Float64Dtype with pd.NA,"[Label(name=""Bug""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40581,bug
2,BUG: groupby + rolling with a non-integer window on multi-index fails-,"[Label(name=""Bug""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40579,bug
5,BUG: groupby rank computing incorrect percentiles,"[Label(name=""Algos""), Label(name=""Bug""), Label(name=""Groupby"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40575,bug
6,"API: EA._can_hold_na should be a dtype attribute, not EA","[Label(name=""Bug""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40574,bug
11,BUG: read_excel blows the memory when using openpyxl engine,"[Label(name=""Bug""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40569,bug
12,"BUG: StringArray.astype() raises for datetime, period, boolean & timedelta with missing values","[Label(name=""Bug""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40566,bug
13,BUG: boolean commutativity broken when boolean expressions uses `.str` boolean methods on null string ,"[Label(name=""Bug""), Label(name=""Missing-data""), Label(name=""Strings"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40565,bug
14,BUG: Fix query doesn't support equals or not equals with Python parse…,"[Label(name=""Bug""), Label(name=""expressions"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40563,bug
17,REF/PERF: deduplicate kth_smallest,"[Label(name=""Algos""), Label(name=""Performance"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40559,performance
22,ENH: Non-nullable extension types,"[Label(name=""Enhancement""), Label(name=""Missing-data"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40554,enhancement
32,CLN: Don't catch TypeError in FrameApply.agg,"[Label(name=""Apply""), Label(name=""Clean""), Label(name=""Error Reporting"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40543,error
45,"BUG: Unexpected behaviour of groupby + rank(pct=True, method=""dense"")","[Label(name=""Algos""), Label(name=""Bug""), Label(name=""Groupby"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40518,bug
46,BUG: NonExistentTimeError when resampling series localized to 'America/Santiago',"[Label(name=""Bug""), Label(name=""Resample""), Label(name=""Timeseries""), Label(name=""Timezones"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40517,bug
47,BUG: json_normalize does not handle combining nested record_path and nested meta as expected,"[Label(name=""Bug""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40514,bug
48,BUG: fillna overwriting other missing vals,"[Label(name=""Bug""), Label(name=""Missing-data"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40509,bug
50,BUG: Respect ignore_index in Series.explode,"[Label(name=""Bug""), Label(name=""Reshaping"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40507,bug
52,Re-evaluate the minimum number of elements to use numexpr for elementwise ops,"[Label(name=""Numeric""), Label(name=""Performance"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40500,performance
53,BUG: Series.fillna is altering None values of unspecified columns,"[Label(name=""Bug""), Label(name=""Missing-data""), Label(name=""Series"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40498,bug
57,API: numeric inference in Series constructor,"[Label(name=""API - Consistency""), Label(name=""Bug""), Label(name=""Index""), Label(name=""Series"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40489,bug
58,Cumsum not available to column of list-likes in groupby,"[Label(name=""API - Consistency""), Label(name=""Enhancement""), Label(name=""Groupby"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40488,enhancement
59,BUG: `Series.explode` ignores `ignore_index` parameter when series is not a nested type,"[Label(name=""Bug""), Label(name=""Reshaping"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40487,bug
62,BUG: Clearing a `Styler` should clear all,"[Label(name=""API - Consistency""), Label(name=""Bug""), Label(name=""Styler""), Label(name=""good first issue"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40484,bug
65,REF: prepare (upcast) scalar before dispatching to arithmetic array ops,"[Label(name=""Numeric""), Label(name=""Performance""), Label(name=""Refactor"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40479,performance
66,BUG: frame.any/all with bool_only=True and Categorical[bool],"[Label(name=""Bug""), Label(name=""Dtypes"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40477,bug
68,BUG: OverflowError when plotting with sharex=True,"[Label(name=""Bug""), Label(name=""Timeseries""), Label(name=""Visualization"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40470,bug
71,BUG/TST: run and fix all arithmetic tests with+without numexpr,"[Label(name=""Bug""), Label(name=""Numeric""), Label(name=""Testing"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40463,bug
72,BUG: operations with Offset fail for large arrays when using numexpr,"[Label(name=""Bug""), Label(name=""Frequency""), Label(name=""Numeric"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40462,bug
73,BUG: inconsistency in division for scalar Offset vs series/array of Offsets,"[Label(name=""Bug""), Label(name=""Frequency""), Label(name=""Numeric"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40461,bug
76,BUG: test_table_method_rolling_methods segfault on Mac,"[Label(name=""Bug""), Label(name=""Segfault""), Label(name=""numba"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40454,bug
79,BUG: groupby fast_apply vs python apply handles same-indexed result differently,"[Label(name=""Bug""), Label(name=""Groupby"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40446,bug
81,BUG: Memory leak in json encoding for time related objects,"[Label(name=""IO JSON""), Label(name=""Performance"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40443,performance
82,BUG: read_excel fails with multirow headers if headers are followed by two empty rows,"[Label(name=""Bug""), Label(name=""IO Excel"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40442,bug
84,BUG: Unexpected behavior of setting item to DataFrame slice,"[Label(name=""Bug""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40440,bug
86,BUG: DataFrame.query doesn't support equals or not equals for string columns with python parser,"[Label(name=""Bug""), Label(name=""Needs Triage""), Label(name=""expressions"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40436,bug
87,BUG: append/concat for dataframes with DatetimeIndex having same timezone value but different tz classes results in change of Index type to generic Index (in place of DatetimeIndex),"[Label(name=""Bug""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40435,bug
88,ENH: Add an option to json_normalize() to protect nested object(s) against flattening,"[Label(name=""Enhancement""), Label(name=""IO JSON""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40432,enhancement
89,DataFrame.from_records fails when the argument is Series with non-default index,"[Label(name=""Bug""), Label(name=""Closing Candidate""), Label(name=""Constructors"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40429,bug
90,"""drop"" fails by default when label to drop is not in the index, but ""rename"" silently passes by. Wouldn't it make sense to synchronize?","[Label(name=""Enhancement""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40427,enhancement
91,ENH: Styler.to_latex(): conditional styling with native latex format,"[Label(name=""Enhancement""), Label(name=""IO LaTeX""), Label(name=""Styler"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40422,enhancement
93,BUG: clip where the bound is a series with NA values returns NA  ,"[Label(name=""Bug""), Label(name=""Missing-data""), Label(name=""Numeric"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40420,bug
94,BUG: Series/DataFrame.rank returns empty object on failure ,"[Label(name=""Bug""), Label(name=""Nuisance Columns"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40418,bug
95,BUG: pydoc.ErrorDuringImport when using pydoc to see docs,"[Label(name=""Bug""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40415,bug
99,API: Make _libs.lib.no_default a singleton,"[Label(name=""API Design""), Label(name=""Enhancement""), Label(name=""Internals"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40397,enhancement
102,BUG: `Series.__delete__` with EA casts to object,"[Label(name=""Bug""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40386,bug
103,Fix frame_or_series.asfreq() dropping rows on unordered indices,"[Label(name=""Bug""), Label(name=""Frequency""), Label(name=""Timeseries"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40384,bug
104,BUG: pip install pandas==1.2.3 triggers source build on aarch64 (manylinux2014 wheel missing from PyPi),"[Label(name=""ARM""), Label(name=""Build""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40382,build
106,BUG: TypeError when trying to group on column name and index level at the same time,"[Label(name=""Docs""), Label(name=""Error Reporting""), Label(name=""Groupby"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40378,error
108,BUG: rolling window iterator with on should replace with the window index with the on column,"[Label(name=""Bug""), Label(name=""Window"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40373,bug
110,ENH:Resume the 'loffset' arguments in Grouper and resample,"[Label(name=""Enhancement""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40367,enhancement
111,BUG: Inconsistent handling of None in indices,"[Label(name=""Bug""), Label(name=""Dtypes""), Label(name=""Index""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40366,bug
114,BUG: KeyError from unexpected DatetimeIndex partial str indexing,"[Label(name=""Bug""), Label(name=""Indexing""), Label(name=""Needs Triage""), Label(name=""Timeseries"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40357,bug
116,BUG: Casting string series to category raises TypeError in nightlies,"[Label(name=""Bug""), Label(name=""Categorical""), Label(name=""Regression""), Label(name=""Upstream issue"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40351,bug
120,BUG: RollingGroupby no longer keeps the groupby column in the result,"[Label(name=""Bug""), Label(name=""Window"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40341,bug
121,BUG: date_range fails when crossing DST boundary,"[Label(name=""Bug""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40336,bug
122,BUG: read_csv not erroring on a bad line with extra columns,"[Label(name=""Bug""), Label(name=""IO CSV"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40333,bug
123,Bug Ensure cache_readonly is only applied on instance,"[Label(name=""Bug"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40329,bug
125,ENH: Method for selecting columns from DataFrameGroupBy (and maybe DataFrame),"[Label(name=""Enhancement""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40322,enhancement
126,BUG: read_excel leads to segfault,"[Label(name=""Bug""), Label(name=""Segfault"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40321,bug
128,BUG: unexpected DataFrame output when LaTeX is used in column names,"[Label(name=""Bug""), Label(name=""Closing Candidate"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40318,bug
129,BUG: Inconsistent rounding up and rounding down in Timestamp.round (v1.2.3),"[Label(name=""Bug""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40315,bug
130,ENH: Consider adding alternative calculation of centered moving averages for even window size,"[Label(name=""Enhancement""), Label(name=""Needs Discussion""), Label(name=""Window"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40313,enhancement
132,Use oldest-supported-numpy in pyproject.toml,"[Label(name=""Build"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40307,build
135,BUG: Inconsistent behaviour between excel engines when writing multiple times using the same ExcelWriter,"[Label(name=""Bug""), Label(name=""IO Excel"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40289,bug
137,ENH: IO support for R data files with `pandas.read_rdata` and `DataFrame.to_rdata`,"[Label(name=""Enhancement""), Label(name=""IO Data"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40287,enhancement
138,BLD: GH30873 Workaround parallel build failures,"[Label(name=""Build""), Label(name=""Windows"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40285,build
139,ENH: read_excel (xlrd engine) add parameter for ignore_workbook_corruption,"[Label(name=""Enhancement""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40274,enhancement
140,DES: How much perf penalty will we accept to get rid of libreduction?,"[Label(name=""Bug""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40263,bug
141,BUG: drop_duplicates() doesn't drop zero-column rows,"[Label(name=""Bug""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40257,bug
142,BUG: missing values encoded in pandas.Int64Dtype not supported by json table scheme,"[Label(name=""Bug""), Label(name=""IO JSON""), Label(name=""NA - MaskedArrays""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40255,bug
143,BUG: Interpolate over time does not work with Int64 or Float64,"[Label(name=""Bug""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40252,bug
145,ENH: consistency of input args for boundaries,"[Label(name=""API - Consistency""), Label(name=""Enhancement""), Label(name=""Needs Discussion""), Label(name=""good first issue"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40245,enhancement
146,[WIP] ENH:`Styler.highlight_quantile` method,"[Label(name=""Enhancement""), Label(name=""Styler"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40244,enhancement
148,PERF: enable nullable integer for read_sql via parameter,"[Label(name=""IO SQL""), Label(name=""Performance"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40239,performance
149,BUG: reindex on empty Series raises ValueError: zero-size array to reduction operation,"[Label(name=""Bug""), Label(name=""Needs Triage"")]",https://api.github.com/repos/pandas-dev/pandas/issues/40235,bug
