,0,1,2,label
0,DOC Update broken link in conftest.py,"[Label(name=""Documentation"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19736,Documentation
1,DOC: Fix typo in KDE metric docstring default value,"[Label(name=""Documentation""), Label(name=""module:neighbors"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19735,Documentation
2,[MRG] more efficient _num_combinations calculation,"[Label(name=""module:preprocessing"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19734,NO
3,ENH Consistent loss name for absolute error,"[Label(name=""module:ensemble""), Label(name=""module:linear_model""), Label(name=""module:tree"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19733,NO
4,FIX a bug in KernelPCA.inverse_transform,"[Label(name=""module:decomposition"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19732,NO
5,ENH Improve regularization messages for QuadraticDiscriminantAnalysis,[],https://api.github.com/repos/scikit-learn/scikit-learn/issues/19731,NO
6,"DOC Move Sacred to ""Experimentation frameworks""","[Label(name=""Documentation"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19730,Documentation
7,DOC Fix load iris datasets,"[Label(name=""Documentation"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19729,Documentation
8,DOC Add scikit-survival to related projects,"[Label(name=""Documentation"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19728,Documentation
9,[MRG] Fix encoder categories having dtype='S',"[Label(name=""module:preprocessing""), Label(name=""module:utils"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19727,NO
10,BUG: Regression with StandardScaler due to #19527,"[Label(name=""Bug: triage"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19726,bug
11,DOC Fix doc regarding required_parameters,"[Label(name=""Documentation"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19725,Documentation
12,"[MRG] Fix top_k_accuracy_score ignoring labels for ""multiclass"" case","[Label(name=""module:metrics"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19721,NO
13,DOC Correct scorer documentation,"[Label(name=""Documentation""), Label(name=""module:metrics"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19720,Documentation
14,skip check_classifiers_predictions test for poor_scoor estimators,"[Label(name=""module:utils"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19719,NO
15,DOC unify None format of the metrics,"[Label(name=""Documentation""), Label(name=""module:metrics""), Label(name=""module:model_selection"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19718,Documentation
16,Transform method for TSNE (different from the fit_transform already present),"[Label(name=""New Feature"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19717,feature
17,check_random_state moved up in order to use it in make_dataset and improve reproduction ,"[Label(name=""module:linear_model"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19716,NO
18,DOC Fix doc for single linkage in feature agglomeration,"[Label(name=""Documentation""), Label(name=""module:cluster"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19715,Documentation
19,Fix typo in elastic net docstring.,"[Label(name=""module:linear_model"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19711,NO
20,Introduce honest sampling into sklearn RandomForestClassifier,"[Label(name=""New Feature"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19710,feature
21,Replaced assert_raises from utils/tests/test_estimator_checks,"[Label(name=""No Changelog Needed""), Label(name=""module:utils"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19709,NO
22,[FIX] Lasso.coef_ have same number of dimensions as target,"[Label(name=""module:linear_model"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19708,NO
23,ENH BestSplitter split on feature with lowest index when multiple features have identical order,"[Label(name=""module:tree"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19707,NO
24,"[FIX] GaussianProcessRegression(normalize_y=True).predict(X, return_cov=True)","[Label(name=""module:gaussian_process"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19706,NO
25,[RFC] Minimal scipy version for 1.0 (or 0.26) release,[],https://api.github.com/repos/scikit-learn/scikit-learn/issues/19705,NO
26,MAINT Improve issue template,[],https://api.github.com/repos/scikit-learn/scikit-learn/issues/19704,NO
27,Prevent division by zero in GPR when y_train is constant,"[Label(name=""module:gaussian_process"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19703,NO
28,MAINT Python 3.9 in badge on README.rst,[],https://api.github.com/repos/scikit-learn/scikit-learn/issues/19702,NO
29,Just initialize a neural network without fitting,[],https://api.github.com/repos/scikit-learn/scikit-learn/issues/19701,NO
30,"[RFC] Removing ""Other"" template in favour of Github Discussions?",[],https://api.github.com/repos/scikit-learn/scikit-learn/issues/19700,NO
31,Adding min-max linkage to Agglomerative Clustering,"[Label(name=""New Feature"")]",https://api.github.com/repos/scikit-learn/scikit-learn/issues/19698,feature
